Interval [s],Power [kW]
100,-10
100,-15
100,-12
100,-7
100,-9
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,0
100,0
100,0
100,0
100,0
100,0
100,-15.72
100,-15.72
100,-15.72
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-15.72
100,-15.72
100,-15.72
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,15.72
100,15.72
100,15.72
100,-15.72
100,-15.72
100,-15.72
100,-3.4928
100,-3.4928
100,-3.4928
100,0
100,0
100,0
100,15.72
100,15.72
100,15.72
100,-15.72
100,-15.72
100,-15.72
100,0
100,0
100,0
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,-15.72
100,-15.72
100,-15.72
100,12.576
100,12.576
100,12.576
100,15.72
100,15.72
100,15.72
100,0
100,0
100,0
100,0
100,0
100,0
100,-15.72
100,-15.72
100,-15.72
100,14.148
100,14.148
100,14.148
100,0
100,0
100,0
100,-8.7336
100,-8.7336
100,-8.7336
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,0
100,0
100,0
100,-15.72
100,-15.72
100,-15.72
100,-1.7472
100,-1.7472
100,-1.7472
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,-15.72
100,-15.72
100,-15.72
100,-3.4936
100,-3.4936
100,-3.4936
100,15.72
100,15.72
100,15.72
100,-15.72
100,-15.72
100,-15.72
100,15.72
100,15.72
100,15.72
100,-15.72
100,-15.72
100,-15.72
100,14.148
100,14.148
100,14.148
100,-15.72
100,-15.72
100,-15.72
100,0
100,0
100,0
100,14.148
100,14.148
100,14.148
100,-8.7336
100,-8.7336
100,-8.7336
100,-15.72
100,-15.72
100,-15.72
100,-15.7192
100,-15.7192
100,-15.7192
100,-15.7192
100,-15.7192
100,-15.7192
100,0
100,0
100,0
100,-15.7192
100,-15.7192
100,-15.7192
100,-15.72
100,-15.72
100,-15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-3.4936
100,-3.4936
100,-3.4936
100,15.72
100,15.72
100,15.72
100,-15.72
100,-15.72
100,-15.72
100,-1.7464
100,-1.7464
100,-1.7464
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,-15.72
100,15.72
100,15.72
100,15.72
100,0
100,0
100,0
100,0
100,0
100,0
100,-15.72
100,-15.72
100,-15.72
100,0
100,0
100,0
